# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.05367e-05 to 105.476 h/Mpc,
# number of wavenumbers equal to 132
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_m                    6:d_ur                   7:d_ncdm[0]              8:d_tot                  9:phi                   10:psi                
       4.194750141383e-03       2.239100527053e-02      -1.439598144014e+02      -1.440026153413e+02      -1.437389827124e+02      -2.805792226296e-01      -8.636269895848e+01      -1.437126442582e+02       4.348203805484e-01       4.348202560747e-01 
       5.280877549114e-03       1.824467338167e-01      -2.215767369785e+02      -2.216561120184e+02      -2.211775485722e+02       1.861861072836e-01      -1.173011331259e+02      -2.211375483255e+02       4.221589455165e-01       4.221588993526e-01 
       6.648230943153e-03       1.758963813842e-01      -3.382171119117e+02      -3.383726689149e+02      -3.375196655657e+02       1.794972866119e-01      -1.530996486453e+02      -3.374592912540e+02       4.064749665402e-01       4.064749552270e-01 
       8.369626877812e-03       1.678386757396e-01      -5.109406498494e+02      -5.112584333327e+02      -5.097816993159e+02       1.712706970239e-01      -1.924576990250e+02      -5.096913387568e+02       3.873636058135e-01       3.873636009669e-01 
       1.053673596371e-02       1.581114456339e-01      -7.619516580368e+02      -7.626234684865e+02      -7.601706100880e+02       1.613408961418e-01      -2.383191202651e+02      -7.600367875517e+02       3.644563787287e-01       3.644563754321e-01 
       1.326496466208e-02       1.465755327991e-01      -1.117740803573e+03      -1.119188232490e+03      -1.115160699274e+03       1.495651688203e-01      -2.704245500092e+02      -1.114965443501e+03       3.373431357462e-01       3.373431334094e-01 
       1.669960109962e-02       1.330123149832e-01      -1.605059279152e+03      -1.608179298486e+03      -1.601812295270e+03       1.357221503070e-01      -2.952465600798e+02      -1.601533062578e+03       3.057355976705e-01       3.057355960724e-01 
       2.102355202030e-02       1.174338508330e-01      -2.242056129768e+03      -2.248617425778e+03      -2.238888936625e+03       1.198238885258e-01      -3.043270215140e+02      -2.238499953618e+03       2.696291973151e-01       2.696291962862e-01 
       2.646695467386e-02       1.002060933578e-01      -3.026298868515e+03      -3.039322124806e+03      -3.025009307199e+03       1.022437649462e-01      -2.945961659875e+02      -3.024485037145e+03       2.298610093152e-01       2.298610086936e-01 
       3.330224374738e-02       8.247671415733e-02      -3.935887908216e+03      -3.959104640113e+03      -3.938981872069e+03       8.415271692681e-02      -2.685782144159e+02      -3.938300394618e+03       1.890529784121e-01       1.890529780579e-01 
       4.135596320779e-02       6.710582501632e-02      -4.932344195497e+03      -4.966326776042e+03      -4.939884932840e+03       6.846882784543e-02      -2.361291335307e+02      -4.939031279830e+03       1.537400714946e-01       1.537400712945e-01 
       4.814365073042e-02       5.816440598142e-02      -5.793755039201e+03      -5.832134493207e+03      -5.801033164865e+03       5.934553909364e-02      -2.140379394091e+02      -5.800031295211e+03       1.332213507384e-01       1.332213506053e-01 
       5.306670472349e-02       5.340144408209e-02      -6.466067306385e+03      -6.504287326262e+03      -6.470138298408e+03       5.448575177365e-02      -2.014859507279e+02      -6.469021213492e+03       1.222970118689e-01       1.222970117661e-01 
       5.712683115337e-02       5.022485473823e-02      -7.051605007037e+03      -7.088060024658e+03      -7.051523674088e+03       5.124460769916e-02      -1.927515112730e+02      -7.050306454372e+03       1.150136063478e-01       1.150136062631e-01 
       6.075211323596e-02       4.776807345503e-02      -7.588708528670e+03      -7.623002052926e+03      -7.584366412657e+03       4.873790450123e-02      -1.858024909860e+02      -7.583057407489e+03       1.093812919296e-01       1.093812918576e-01 
       6.413338979608e-02       4.567619740796e-02      -8.089802981541e+03      -8.122209169514e+03      -8.081595720900e+03       4.660352627284e-02      -1.795801777168e+02      -8.080201060225e+03       1.045864088340e-01       1.045864087716e-01 
       6.737167045857e-02       4.377351403887e-02      -8.557821221862e+03      -8.589071617818e+03      -8.546514665033e+03       4.466218952675e-02      -1.737078176268e+02      -8.545039914265e+03       1.002261229427e-01       1.002261228881e-01 
       7.052752172046e-02       4.196513290807e-02      -8.991920175232e+03      -9.023078629973e+03      -8.978562497237e+03       4.281705794605e-02      -1.679146119481e+02      -8.977013320981e+03       9.608068328899e-02       9.608068324090e-02 
       7.364072767811e-02       4.019718590581e-02      -9.390165895180e+03      -9.422520248843e+03      -9.376001613343e+03       4.101319392752e-02      -1.619988797030e+02      -9.374383977238e+03       9.202970928718e-02       9.202970924467e-02 
       7.673932683540e-02       3.844465693499e-02      -9.750982892017e+03      -9.785933630648e+03      -9.737358319650e+03       3.922505855647e-02      -1.559369692899e+02      -9.735678444109e+03       8.801398812381e-02       8.801398808617e-02 
       7.984423803672e-02       3.670050699415e-02      -1.007427306560e+04      -1.011320998817e+04      -1.006252613351e+04       3.744546605017e-02      -1.497678071764e+02      -1.006079025739e+04       8.401684690306e-02       8.401684686969e-02 
       8.297183101645e-02       3.496954109048e-02      -1.036223285047e+04      -1.040640078321e+04      -1.035356964283e+04       3.567934581213e-02      -1.435041243686e+02      -1.035178364878e+04       8.005257007381e-02       8.005257004422e-02 
       8.613544956543e-02       3.326944883929e-02      -1.061981907537e+04      -1.067018001408e+04      -1.061518559777e+04       3.394471055620e-02      -1.372059416822e+02      -1.061335455821e+04       7.615707592213e-02       7.615707589591e-02 
       8.934636171780e-02       3.162147935195e-02      -1.085510994705e+04      -1.091221287688e+04      -1.085506892760e+04       3.226325826765e-02      -1.310227604548e+02      -1.085319658775e+04       7.238113005920e-02       7.238113003594e-02 
       9.261437787379e-02       3.005057055275e-02      -1.107915095839e+04      -1.114302235826e+04      -1.108377627691e+04       3.066043838147e-02      -1.250871719778e+02      -1.108186456116e+04       6.878241842089e-02       6.878241840024e-02 
       9.594826703267e-02       2.858069111545e-02      -1.130538783089e+04      -1.137546357200e+04      -1.131419604356e+04       2.916072244872e-02      -1.194486406531e+02      -1.131224465368e+04       6.541780189929e-02       6.541780188093e-02 
       9.935604519347e-02       2.723502047262e-02      -1.154847750170e+04      -1.162359538559e+04      -1.156041661558e+04       2.778771733977e-02      -1.142660719974e+02      -1.155842282399e+04       6.233492061258e-02       6.233492059621e-02 
       1.028451799312e-01       2.602496121102e-02      -1.182279345246e+04      -1.190126388354e+04      -1.183630328705e+04       2.655310206699e-02      -1.096075037321e+02      -1.183426197537e+04       5.956548988114e-02       5.956548986650e-02 
       1.064227382963e-01       2.495647806912e-02      -1.214047499333e+04      -1.222022870166e+04      -1.215362118948e+04       2.546293196810e-02      -1.054564444168e+02      -1.215152521104e+04       5.711936293161e-02       5.711936291846e-02 
       1.100954953450e-01       2.402197359444e-02      -1.250910272402e+04      -1.258793868887e+04      -1.251980620271e+04       2.450946218704e-02      -1.018597474361e+02      -1.251764712913e+04       5.498003656652e-02       5.498003655466e-02 
       1.138700146629e-01       2.320249467463e-02      -1.292980953150e+04      -1.300570424481e+04      -1.293613493970e+04       2.367335839776e-02      -9.867600657733e+01      -1.293390412314e+04       5.310461950507e-02       5.310461949433e-02 
       1.177527085547e-01       2.246925206380e-02      -1.339567424632e+04      -1.346713341590e+04      -1.339616257636e+04       2.292523897809e-02      -9.585128325262e+01      -1.339385248087e+04       5.142628066742e-02       5.142628065767e-02 
