# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.06666e-05 to 106.777 h/Mpc,
# number of wavenumbers equal to 132
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_m                    6:d_ur                   7:d_ncdm[0]              8:d_tot                  9:phi                   10:psi                
       4.246449480813e-03       1.259860282964e-02      -1.443605032626e+02      -1.443918521918e+02      -1.441370667267e+02      -2.930567771578e-01      -8.687031416511e+01      -1.441113953619e+02       4.387752727313e-01       4.387751480577e-01 
       5.345963161295e-03       1.585146948459e-01      -2.223167575607e+02      -2.223784421516e+02      -2.219149700840e+02       1.626548125885e-01      -1.181374918955e+02      -2.218759540214e+02       4.262385274725e-01       4.262384819033e-01 
       6.730168874270e-03       1.529464019115e-01      -3.395687848298e+02      -3.396951804375e+02      -3.388676607467e+02       1.569358205404e-01      -1.544410366720e+02      -3.388087209980e+02       4.106728584626e-01       4.106728473102e-01 
       8.472780621485e-03       1.460690017362e-01      -5.133594221900e+02      -5.136292903721e+02      -5.121935159072e+02       1.498740962240e-01      -1.944147148387e+02      -5.121052228470e+02       3.916515141726e-01       3.916515094061e-01 
       1.066659883294e-02       1.377298986532e-01      -7.661556071409e+02      -7.667473275670e+02      -7.643570826016e+02       1.413131579681e-01      -2.410350272964e+02      -7.642262071632e+02       3.687753957530e-01       3.687753925133e-01 
       1.342845232821e-02       1.277988971890e-01      -1.124751384624e+03      -1.126063138719e+03      -1.122128906064e+03       1.311185037982e-01      -2.739468007114e+02      -1.121937793001e+03       3.415925078282e-01       3.415925055283e-01 
       1.690541987702e-02       1.160548945748e-01      -1.616066892940e+03      -1.618953897501e+03      -1.612718109936e+03       1.190654842738e-01      -2.994235520655e+02      -1.612444633939e+03       3.097590571797e-01       3.097590556051e-01 
       2.128266253410e-02       1.024878985233e-01      -2.257771115369e+03      -2.263939993896e+03      -2.254385060497e+03       1.051434912320e-01      -3.087834588204e+02      -2.254004039011e+03       2.732081383372e-01       2.732081373230e-01 
       2.679316930374e-02       8.739495961245e-02      -3.045246076494e+03      -3.057654546221e+03      -3.043555694359e+03       8.965725492187e-02      -2.987566899733e+02      -3.043042544057e+03       2.327290057103e-01       2.327290050977e-01 
       3.371424783257e-02       7.177063816950e-02      -3.951706766639e+03      -3.974118341189e+03      -3.954241080041e+03       7.362704861770e-02      -2.717629892948e+02      -3.953575541592e+03       1.909649318036e-01       1.909649314553e-01 
       4.189996001276e-02       5.813755715507e-02      -4.937348719596e+03      -4.970652999080e+03      -4.944470263031e+03       5.964051858638e-02      -2.379149392922e+02      -4.943639016130e+03       1.546001729113e-01       1.546001727156e-01 
       4.886261356773e-02       5.018017662456e-02      -5.795008074459e+03      -5.833065971862e+03      -5.802228989445e+03       5.147709164910e-02      -2.148222437922e+02      -5.801254119935e+03       1.334009428984e-01       1.334009427692e-01 
       5.390154912222e-02       4.600296054969e-02      -6.467709620870e+03      -6.505827859647e+03      -6.471987896602e+03       4.719178170137e-02      -2.019338458263e+02      -6.470900828396e+03       1.222792092615e-01       1.222792091620e-01 
       5.804700157388e-02       4.325652271413e-02      -7.056780507344e+03      -7.093236250304e+03      -7.057069598841e+03       4.437429940329e-02      -1.931232119503e+02      -7.055884491499e+03       1.149693925108e-01       1.149693924289e-01 
       6.174364667372e-02       4.115477118937e-02      -7.599959696729e+03      -7.634258795217e+03      -7.596058221630e+03       4.221818266233e-02      -1.862086222427e+02      -7.594782786560e+03       1.093757767974e-01       1.093757767278e-01 
